customer_id,rec,frec,val_mon
CS1447,6.0,4,207
CS1448,40.0,8,650
CS1449,3.0,4,285
CS1450,25.0,6,398
CS1451,21.0,6,516
CS1452,109.0,3,201
CS1453,133.0,5,390
CS1454,21.0,4,217
CS1455,3.0,3,224
CS1456,205.0,2,142
CS1457,92.0,2,115
CS1458,6.0,7,519
CS1459,125.0,5,365
CS1460,42.0,5,320
CS1461,28.0,6,368
CS1462,49.0,5,363
CS1463,129.0,6,425
CS1464,237.0,2,157
CS1465,3.0,8,626
CS1466,23.0,7,460
CS1467,219.0,2,172
CS1468,10.0,5,341
CS1469,10.0,7,551
CS1470,53.0,11,865
CS1471,5.0,2,162
CS1472,9.0,7,420
CS1473,4.0,4,263
CS1474,90.0,3,266
CS1475,56.0,3,176
CS1476,78.0,8,565
CS1477,14.0,3,262
CS1478,91.0,4,249
CS1479,58.0,4,367
CS1480,83.0,3,204
CS1482,37.0,3,163
CS1483,75.0,5,389
CS1484,100.0,3,252
CS1485,23.0,7,504
CS1486,49.0,4,288
CS1487,29.0,5,316
CS1488,14.0,7,500
CS1489,34.0,4,273
CS1490,24.0,8,581
CS1491,88.0,2,158
CS1492,38.0,4,287
CS1493,6.0,8,566
CS1494,119.0,5,397
CS1495,19.0,6,390
CS1496,24.0,4,350
CS1497,8.0,6,380
CS1498,57.0,3,203
CS1499,46.0,7,555
CS1500,165.0,6,368
CS1501,36.0,10,710
CS1502,6.0,5,442
CS1503,2.0,10,680
CS1504,45.0,3,219
CS1505,53.0,6,432
CS1506,77.0,5,245
CS1507,20.0,4,208
CS1508,15.0,7,495
CS1509,147.0,5,370
CS1510,4.0,5,288
CS1511,51.0,3,206
CS1512,24.0,4,339
CS1513,107.0,8,537
CS1514,162.0,4,321
CS1515,15.0,5,450
CS1516,102.0,4,323
CS1517,86.0,5,303
CS1518,125.0,6,412
CS1519,12.0,5,328
CS1520,4.0,5,318
CS1521,195.0,1,72
CS1522,97.0,2,144
CS1523,216.0,2,124
CS1524,131.0,3,201
CS1525,28.0,9,679
CS1526,32.0,6,477
CS1527,14.0,4,336
CS1528,4.0,8,553
CS1529,10.0,10,643
CS1530,252.0,2,107
CS1531,36.0,10,798
CS1532,284.0,2,166
CS1533,44.0,7,542
CS1534,69.0,4,291
CS1535,84.0,6,381
CS1536,36.0,4,293
CS1537,6.0,3,206
CS1538,3.0,4,279
CS1539,26.0,7,549
CS1540,39.0,5,335
CS1541,142.0,6,463
CS1542,171.0,2,95
CS1543,2.0,1,91
CS1544,54.0,6,467
CS1545,22.0,10,649
CS1546,200.0,2,145
CS1547,26.0,5,268
CS1548,18.0,8,611
CS1549,26.0,6,436
CS1550,51.0,8,613
CS1551,102.0,3,199
CS1552,31.0,6,458
CS1553,188.0,4,290
CS1554,142.0,1,78
CS1555,63.0,6,488
CS1556,23.0,5,448
CS1557,42.0,6,392
CS1558,20.0,5,325
CS1559,7.0,5,441
CS1560,50.0,6,438
CS1561,2.0,3,219
CS1564,19.0,6,503
CS1565,121.0,4,246
CS1566,191.0,6,390
CS1567,22.0,7,478
CS1568,34.0,7,465
CS1569,26.0,3,191
CS1570,103.0,5,353
CS1571,32.0,3,174
CS1572,35.0,4,308
CS1573,44.0,8,706
CS1574,8.0,6,333
CS1575,47.0,8,494
CS1576,94.0,4,265
CS1577,20.0,5,382
CS1578,89.0,4,316
CS1579,27.0,4,320
CS1580,191.0,4,323
CS1581,38.0,5,317
CS1582,19.0,9,640
CS1583,30.0,6,414
CS1584,15.0,6,368
CS1585,94.0,5,291
CS1586,74.0,2,131
CS1587,38.0,8,545
CS1588,10.0,6,375
CS1589,16.0,7,536
CS1590,155.0,4,228
CS1591,155.0,5,374
CS1592,35.0,10,647
CS1593,25.0,2,129
CS1594,24.0,2,174
CS1595,107.0,1,84
CS1596,19.0,6,423
CS1597,67.0,6,437
CS1598,40.0,3,224
CS1599,58.0,6,348
CS1600,20.0,4,328
CS1601,80.0,7,382
CS1602,27.0,9,736
CS1603,126.0,5,375
CS1604,16.0,6,374
CS1605,17.0,12,717
CS1606,3.0,3,140
CS1607,62.0,4,327
CS1608,50.0,5,306
CS1609,138.0,1,43
CS1610,33.0,5,365
CS1611,259.0,3,271
CS1612,20.0,7,457
CS1613,128.0,5,266
CS1614,11.0,8,596
CS1615,4.0,6,489
CS1616,11.0,3,238
CS1617,105.0,7,514
CS1618,176.0,4,227
CS1619,12.0,3,173
CS1620,301.0,1,73
CS1621,22.0,9,641
