,Depth,Temperature,Cast,Cruise,Latitude,Longitude,Day,Month,Year,Ts
765,236.0,18.47,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
766,250.0,17.77,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
767,276.0,17.12,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
768,314.0,15.52,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
769,329.0,15.17,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
770,370.0,13.37,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
771,389.0,12.82,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
772,422.0,12.27,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
773,458.0,11.37,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
774,477.0,10.41,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
775,512.0,10.05,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
776,527.0,9.43,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
777,604.0,8.5,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
778,660.0,7.3,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
779,682.0,7.15,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
780,697.0,6.73,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
781,774.0,6.2,2711244,US-54855       ,21.075,-86.058,14,5,1982,19.91227273
782,29.0,27.56,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
783,39.0,27.03,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
784,46.0,26.26,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
785,77.0,25.68,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
786,106.0,24.69,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
787,123.0,22.13,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
788,139.0,20.66,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
789,145.0,20.51,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
790,155.0,19.31,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
791,167.0,18.67,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
792,179.0,18.37,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
793,192.0,17.47,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
794,208.0,16.97,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
795,237.0,15.47,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
796,245.0,15.42,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
797,261.0,14.52,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
798,289.0,13.92,2711259,US-54855       ,20.842,-86.542,14,5,1982,19.52222222
